date,side,subregime,break_bar,gap_out,fwd_bars,wall_us,ratio,rv,drift_norm,cum_fwd_pct
2024-06-17,call,narrow,14,False,11,5461.3562420032895,10.02083714129044,1.9306654809153485e-05,0.7162569868158875,0.31471858303446937
2024-06-28,call,narrow,2,False,23,5531.026055639263,10.056411010253205,3.88384843525831e-05,-1.71425005746228,-1.068329718004345
2024-07-05,call,narrow,8,False,17,5558.415729121592,10.051384681955863,8.53136534070643e-06,0.8002227719937357,0.23373307682626443
2024-07-08,call,narrow,0,True,25,5578.5855784469095,10.051505546751189,6.194047401689093e-06,-0.30931685558398175,-0.07698229407236662
2024-07-10,call,narrow,1,False,24,5597.089895246917,10.048635359509726,1.035169092241963e-05,2.259000072035015,0.7268116718454198
2024-08-15,call,violent,1,False,24,5517.502305313975,10.031822373298136,1.3149344132577563e-05,1.4992149419311323,0.5436456879836181
2024-08-19,call,narrow,2,False,23,5565.273136648738,10.02751916513286,1.3577484076214068e-05,2.2234112169135107,0.8192745108607837
2024-08-20,call,narrow,0,True,25,5615.135135135135,10.027027027027026,2.0836043910984754e-05,-0.5538987873929048,-0.25283549667930516
2024-09-19,call,narrow,2,False,23,5718.468247574346,10.032400434340957,1.9754220269269005e-05,0.3501140905673852,0.15561072839809326
2024-09-24,call,narrow,8,False,17,5733.7230876947315,10.059163311745143,1.4769974667966372e-05,0.5808478762805822,0.22322985699337605
2024-10-18,call,narrow,18,False,7,5876.018235002309,10.044475615388562,6.469422385281163e-06,-0.31444085875373107,-0.07997821869789891
2024-11-06,call,violent,15,False,10,5926.353546291283,10.044667027612345,3.536574059224059e-05,0.2126994957510168,0.12649047948324424
2024-11-25,call,narrow,0,True,25,6018.07440630596,10.030124010509933,2.5081629244338915e-05,-0.9351182776350545,-0.4683218467159316
2024-11-26,call,narrow,13,False,12,6018.080412886041,10.030134021476735,4.8317996469035045e-06,0.4156967910137275,0.09137578707780232
2025-01-21,call,narrow,0,True,25,6027.460409584612,10.045767349307686,2.0920946571088377e-05,1.0916981812380249,0.4993364299933703
2025-01-22,call,narrow,0,True,25,6077.833751071829,10.046006200118725,8.227678364505967e-06,0.3608859283948357,0.1035162668419353
2025-01-24,call,narrow,0,True,25,6125.785811799924,10.042271822622826,9.18305962665493e-06,-1.2170151382978107,-0.36879895561358295
2025-02-14,call,narrow,0,True,25,6118.2089552238795,10.029850746268655,6.982899576842525e-06,-0.4018124746529047,-0.10617965597791462
2025-04-25,call,violent,14,False,11,5519.277567920964,10.035050123492663,0.0001266517725937382,0.08530994975342213,0.09600753568582317
2025-05-12,call,violent,2,False,23,5818.106657061013,10.031218374243126,4.383844340893455e-05,0.747470708553332,0.4949048854673273
2025-06-06,call,narrow,0,True,25,6008.412057282105,10.014020095470174,1.6117076730581207e-05,-0.5426804515632074,-0.21786492374726765
2025-06-09,call,narrow,10,False,15,6008.10432230523,10.01350720384205,7.174360413897571e-06,-0.22989886939311077,-0.06157840428720046
2025-06-10,call,narrow,0,True,25,6009.749950255356,10.01624991709226,1.4657317438793449e-05,1.159652349539538,0.44397146610353894
2025-06-16,call,violent,0,True,25,6008.46220216367,10.014103670272783,1.8888534341268165e-05,0.6001127983045241,0.26081467207123094
